,REF_DATE,GEO,DGUID,Month of birth,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
58,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, March",Number of live births,Number,223,units,0,v21400594,3.4.1,158.0,,,,0
59,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, March",Percentage of live births,Percentage,242,units,0,v21400595,3.4.2,8.4,,,,1
60,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, April",Number of live births,Number,223,units,0,v21400596,3.5.1,181.0,,,,0
61,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, April",Percentage of live births,Percentage,242,units,0,v21400597,3.5.2,9.6,,,,1
62,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, May",Number of live births,Number,223,units,0,v21400598,3.6.1,148.0,,,,0
63,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, May",Percentage of live births,Percentage,242,units,0,v21400599,3.6.2,7.9,,,,1
64,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, June",Number of live births,Number,223,units,0,v21400600,3.7.1,183.0,,,,0
65,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, June",Percentage of live births,Percentage,242,units,0,v21400601,3.7.2,9.7,,,,1
66,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, July",Number of live births,Number,223,units,0,v21400602,3.8.1,154.0,,,,0
67,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, July",Percentage of live births,Percentage,242,units,0,v21400603,3.8.2,8.2,,,,1
68,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, August",Number of live births,Number,223,units,0,v21400604,3.9.1,153.0,,,,0
69,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, August",Percentage of live births,Percentage,242,units,0,v21400605,3.9.2,8.1,,,,1
70,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, September",Number of live births,Number,223,units,0,v21400606,3.10.1,177.0,,,,0
71,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, September",Percentage of live births,Percentage,242,units,0,v21400607,3.10.2,9.4,,,,1
72,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, October",Number of live births,Number,223,units,0,v21400608,3.11.1,153.0,,,,0
73,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, October",Percentage of live births,Percentage,242,units,0,v21400609,3.11.2,8.1,,,,1
74,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, November",Number of live births,Number,223,units,0,v21400610,3.12.1,142.0,,,,0
75,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, November",Percentage of live births,Percentage,242,units,0,v21400611,3.12.2,7.5,,,,1
76,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, December",Number of live births,Number,223,units,0,v21400612,3.13.1,151.0,,,,0
77,1991-01-01,"Prince Edward Island, place of residence of mother",2016A000211,"Month of birth, December",Percentage of live births,Percentage,242,units,0,v21400613,3.13.2,8.0,,,,1
78,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Total, month of birth",Number of live births,Number,223,units,0,v21400614,4.1.1,12026.0,,,,0
79,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Total, month of birth",Percentage of live births,Percentage,242,units,0,v21400615,4.1.2,100.0,,,,1
80,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, January",Number of live births,Number,223,units,0,v21400616,4.2.1,965.0,,,,0
81,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, January",Percentage of live births,Percentage,242,units,0,v21400617,4.2.2,8.0,,,,1
82,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, February",Number of live births,Number,223,units,0,v21400618,4.3.1,978.0,,,,0
83,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, February",Percentage of live births,Percentage,242,units,0,v21400619,4.3.2,8.1,,,,1
84,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, March",Number of live births,Number,223,units,0,v21400620,4.4.1,1039.0,,,,0
85,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, March",Percentage of live births,Percentage,242,units,0,v21400621,4.4.2,8.6,,,,1
86,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, April",Number of live births,Number,223,units,0,v21400622,4.5.1,1053.0,,,,0
87,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, April",Percentage of live births,Percentage,242,units,0,v21400623,4.5.2,8.8,,,,1
88,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, May",Number of live births,Number,223,units,0,v21400624,4.6.1,1076.0,,,,0
89,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, May",Percentage of live births,Percentage,242,units,0,v21400625,4.6.2,8.9,,,,1
90,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, June",Number of live births,Number,223,units,0,v21400626,4.7.1,986.0,,,,0
91,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, June",Percentage of live births,Percentage,242,units,0,v21400627,4.7.2,8.2,,,,1
92,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, July",Number of live births,Number,223,units,0,v21400628,4.8.1,1045.0,,,,0
93,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, July",Percentage of live births,Percentage,242,units,0,v21400629,4.8.2,8.7,,,,1
94,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, August",Number of live births,Number,223,units,0,v21400630,4.9.1,987.0,,,,0
95,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, August",Percentage of live births,Percentage,242,units,0,v21400631,4.9.2,8.2,,,,1
96,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, September",Number of live births,Number,223,units,0,v21400632,4.10.1,1099.0,,,,0
97,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, September",Percentage of live births,Percentage,242,units,0,v21400633,4.10.2,9.1,,,,1
98,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, October",Number of live births,Number,223,units,0,v21400634,4.11.1,961.0,,,,0
99,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, October",Percentage of live births,Percentage,242,units,0,v21400635,4.11.2,8.0,,,,1
100,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, November",Number of live births,Number,223,units,0,v21400636,4.12.1,900.0,,,,0
101,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, November",Percentage of live births,Percentage,242,units,0,v21400637,4.12.2,7.5,,,,1
102,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, December",Number of live births,Number,223,units,0,v21400638,4.13.1,937.0,,,,0
103,1991-01-01,"Nova Scotia, place of residence of mother",2016A000212,"Month of birth, December",Percentage of live births,Percentage,242,units,0,v21400639,4.13.2,7.8,,,,1
104,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Total, month of birth",Number of live births,Number,223,units,0,v21400640,5.1.1,9498.0,,,,0
105,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Total, month of birth",Percentage of live births,Percentage,242,units,0,v21400641,5.1.2,100.0,,,,1
106,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, January",Number of live births,Number,223,units,0,v21400642,5.2.1,730.0,,,,0
107,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, January",Percentage of live births,Percentage,242,units,0,v21400643,5.2.2,7.7,,,,1
